Category,Item,Size,Barcode,Qty
"Aperitif","Campari TOTS","750ml","6200100260026","1"
"Beer","Castle Lite","330ml","6200100410041","20"
"Beer","Castle Lite Can","330ml","6200100420042","12"
"Beer","Desperados","330ml","6200100500050","12"
"Beer","Flying Fish","330ml","6200100430043","12"
"Beer","Heineken","330ml","6200100510051","12"
"Beer","Kilimanjaro Lite","330ml","6200100470047","12"
"Beer","Kilimanjaro Premium Lager","375ml","6200100460046","13"
"Beer","Safari Lager","330ml","6200100450045","19"
"Beer","Serengeti Lager","330ml","6200100400040","20"
"Beer","Serengeti Lemon","300ml","6200100390039","0"
"Beer","Windhoek","330ml","6200100520052","12"
"Cider","Brutal Fruit","275ml","6200100490049","12"
"Cider","Savanna","330ml","6200100480048","12"
"Cognac","Hennessy very special COGNAC","350ml","6200100610061","1"
"Cognac","Hennessy VS BOX TOTS","700ml","6200100250025","1"
"Cognac","Hennessy VSOP TOTS","700ml","6200100240024","1"
"Energy Drink","Red Bull","250ml","6200100530053","12"
"Gin","Gordons","200ml","6200100100010","2"
"Gin","Gordons TOTS","750ml","6200100110011","2"
"Liqueur","Amarula","375ml","6200100120012","2"
"Liqueur","Amarula TOTS","750ml","6200100130013","1"
"Malt","Grand Malt","330ml","6200100440044","9"
"Soft Drink","Coca Cola Soda","350ml","6200100540054","7"
"Soft Drink","Fanta Soda","350ml","6200100550055","5"
"Soft Drink","Krest Bitter Lemon","300ml","6200100560056","6"
"Soft Drink","Krest Ginger","300ml","6200100600060","4"
"Soft Drink","Krest Soda Water","300ml","6200100580058","6"
"Soft Drink","Krest Tonic Water","300ml","6200100570057","6"
"Soft Drink","Stoney Soda","300ml","6200100590059","2"
"Sparkling","Chamdor","750ml","6200100220022","1"
"Sparkling","Freixenet","750ml","6200100230023","1"
"Spirit","Camino","750ml","6200100060006","1"
"Spirit","Jagermeister","350ml","6200100040004","2"
"Spirit","Jagermeister TOTS","700ml","6200100050005","1"
"Spirit","Konyagi","200ml","6200100010001","12"
"Spirit","Konyagi","750ml","6200100620062","0"
"Spirit","Kvant","250ml","6200100030003","12"
"Spirit","Kvant","750ml","6200100020002","3"
"Water","Kilimanjaro Water","1L","6200100370037","12"
"Water","Kilimanjaro Water","500ml","6200100380038","12"
"Whisky","Ballantines","200ml","6200100350035","2"
"Whisky","Ballantines TOTS","750ml","6200100360036","1"
"Whisky","Black & White TOTS","750ml","6200100090009","2"
"Whisky","Grants","200ml","6200100300030","2"
"Whisky","Grants TOTS","750ml","6200100310031","1"
"Whisky","J & B","200ml","6200100280028","2"
"Whisky","J & B TOTS","750ml","6200100290029","1"
"Whisky","Jack Daniels TOTS","700ml","6200100270027","1"
"Whisky","Johnnie Walker Black Label TOTS","750ml","6200100320032","1"
"Whisky","Johnnie Walker Red Label","200ml","6200100330033","2"
"Whisky","Johnnie Walker Red Label TOTS","750ml","6200100340034","1"
"Wine","Apothic Red","750ml","6200100210021","2"
"Wine","Classic Dompo","750ml","6200100180018","3"
"Wine","Drostdy Hof","375ml","6200100140014","3"
"Wine","Drostdy Hof Red","750ml","6200100150015","3"
"Wine","Drostdy Hof White","750ml","6200100160016","2"
"Wine","Four Cousins Sweet Red","750ml","6200100080008","3"
"Wine","Four Cousins Sweet White","750ml","6200100070007","3"
"Wine","Merlot KWV","750ml","6200100200020","2"
"Wine","Saint Anna","750ml","6200100170017","3"
"Wine","Shiraz KWV","750ml","6200100190019","2"
